Company Name,Type,Primary Market(s),Counties Served,Serves Palm Beach Co.,Street Address,City,State,ZIP,Phone,Email,Website,Pricing (availability),Reference Rate (market avg),Notes,Source,Confidence
AdQuick,Broker / agency / marketplace,West Palm Beach; nationwide marketplace,Palm Beach (+ nationwide),Yes,,,FL,,,,https://www.adquick.com/billboard-locations/florida/west-palm-beach,Quote only — request from company,Marketplace booking; publishes 2026 CPM/cost guides,OOH marketplace aggregating operator inventory; good source of live availability.,adquick.com; WebSearch 2026-07-08,Medium
Blip Billboards,Broker / agency / marketplace,Statewide FL (self-serve digital),Statewide,Yes,,,FL,,,,https://www.blipbillboards.com/billboard-locations/florida/,Quote only — request from company,"Self-serve digital; pay-per-play, any budget — dynamic pricing",Self-serve digital billboard marketplace; no minimum contract.,blipbillboards.com; WebSearch 2026-07-08,Medium
DAT Media FL,Mobile / LED-truck operator,West Palm Beach; South Florida,Palm Beach; Broward; Miami-Dade,Yes,,,FL,,,,https://datmediafl.com/west-palm-beach-mobile-led-billboard-advertising/,Quote only — request from company,Mobile LED truck; typically day/week rate — quote only,Mobile digital LED billboard trucks.,datmediafl.com; WebSearch 2026-07-08,Medium
Fliphound,Broker / agency / marketplace,West Palm Beach; statewide (digital platform),Palm Beach (+ statewide),Yes,,,FL,,,,https://fliphound.com/billboard-advertising/Florida/West-Palm-Beach,Quote only — request from company,Self-serve digital billboard booking — dynamic pricing,Online marketplace/platform for digital billboards.,fliphound.com; WebSearch 2026-07-08,Medium
Hanging Pants Media,Regional operator,Miami; Ft. Lauderdale; WPB; Tampa; Orlando; Jacksonville,Statewide (major metros),Yes,,,FL,,,,https://hangingpantsmedia.com/,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),"Geo-targets Palm Beach/Broward/Miami-Dade incl. Boca Raton, Delray, Palm Beach; I-95, I-595, Turnpike, US-1 inventory.",hangingpantsmedia.com; WebSearch 2026-07-08,Medium
Media Lease OOH,Regional operator,West Palm Beach; Fort Pierce,Palm Beach; St. Lucie,Yes,,,FL,,,,https://www.medialeaseooh.com/west-palm-beach-ft-pierce-fl/,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),"Out-of-home billboard leasing, WPB & Ft. Pierce corridor.",medialeaseooh.com; WebSearch 2026-07-08,Medium
Mobile Billboard Miami,Mobile / LED-truck operator,Miami; Broward; Palm Beach,Miami-Dade; Broward; Palm Beach,Yes,"6011 Rodman St, Unit 102",Hollywood,FL,33023,,,https://www.mobilebillboardmiami.com/,Quote only — request from company,"Mobile LED truck — day/route rate, quote only","13+ yrs; digital LED billboard trucks, event marketing, live streaming.",mobilebillboardmiami.com; WebSearch 2026-07-08,Medium
Clear Channel Outdoor — Miami,National operator,Miami-Dade,Miami-Dade; Broward,Unknown,5800 NW 77th Court,Miami,FL,33166,,,https://clearchanneloutdoor.com/,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),,WebSearch 2026-07-08,High
Carter Outdoor Advertising,Regional operator,South Florida,Broward; Miami-Dade; Palm Beach,Unknown,,,FL,,,,https://www.carteroutdoor.com/,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),"Family-owned, serving South Florida since 1956.",carteroutdoor.com; WebSearch 2026-07-08,Medium
Creative Outdoor Advertising,Regional operator,Tampa / Gulf Coast,Hillsborough; Pinellas; Gulf Coast,No,,Tampa,FL,,,,,Quote only — request from company,Quote only,"HQ Tampa since 1984, 100+ employees, Florida Gulf Coast coverage.",WebSearch 2026-07-08,Medium
Logan Outdoor Advertising,Regional operator,Central West Florida,Six central FL counties,No,,,FL,,,,https://loganoutdoor.com/,Quote only — request from company,Quote only,,loganoutdoor.com; WebSearch 2026-07-08,Medium
Orlando Outdoor Advertising,Regional operator,Orlando / Central Florida,Orange; Osceola; Seminole,No,,,FL,,,,,Quote only — request from company,Quote only,500+ faces across I-4 and theme-park routes.,WebSearch 2026-07-08,Medium
Premium Outdoor,Regional operator,Florida Panhandle,Escambia; Santa Rosa; Okaloosa; Bay (Panhandle),No,,,FL,,,,https://premiumoutdoor.com/,Quote only — request from company,Quote only,Independently owned; 140+ digital & static faces in the Panhandle.,premiumoutdoor.com; WebSearch 2026-07-08,Medium
SDE Media,Independent / local operator,Greater Miami,Miami-Dade,Unknown,,,FL,,,,https://sde-media.com/,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),"Boutique independent; static + digital on Palmetto (SR 826), Dolphin (SR 836) & Florida's Turnpike. FL Certified Minority Business; on Miami-Dade Asset Marketing Pool.",sde-media.com; WebSearch 2026-07-08,Medium
3N Outdoor Media,Regional operator,Miami,Miami-Dade,Unknown,,,FL,,,,,Quote only — request from company,,Miami-based; premium inventory along Biscayne Blvd and near airports.,WebSearch 2026-07-08,Low
Bill Salter Outdoor Advertising,Regional operator,Northwest Florida Panhandle,Escambia; Santa Rosa; Okaloosa (NW FL),No,,Milton,FL,,,,,Quote only — request from company,Quote only,Long-standing regional independent operator in the western Panhandle.,WebSearch 2026-07-08,Low
"Idon Media, LLC",Broker / agency / marketplace,Florida (independent-operator network),Statewide,Unknown,,,FL,,,,http://www.idonmedia.com/about-us,Quote only — request from company,Quote only,"FL subsidiary of Digital Outdoor Advertising, LLC; represents independent billboard operators for national reach.",idonmedia.com; WebSearch 2026-07-08,Low
Ilum Advertising,Mobile / LED-truck operator,Orlando; Miami; Tampa; Jacksonville,Statewide (major metros),Unknown,,,FL,,,,,Quote only — request from company,"Mobile LED truck — day/week rate, quote only",,WebSearch 2026-07-08,Low
Intersection,National operator,National transit / place-based (FL metros),Statewide FL (transit & place-based),Unknown,,,FL,,,,https://www.intersection.com/,Quote only — request from company,Quote only,"National OOH vendor; transit and place-based media, active in FL markets.",WebSearch 2026-07-08,Low
Koala Outdoor Advertising,Independent / local operator,Polk County,Polk,No,,Lake Hamilton,FL,,,,,Quote only — request from company,Quote only,,WebSearch 2026-07-08,Low
Lakeland Outdoor Advertising,Independent / local operator,Lakeland / Central FL,Hillsborough; Lake,No,,,FL,,,,,Quote only — request from company,Quote only,,WebSearch 2026-07-08,Low
Movia Media,Mobile / LED-truck operator,Florida (mobile),Statewide,Unknown,,,FL,,,,https://moviamedia.com/,Quote only — request from company,Mobile billboard — quote only,,moviamedia.com; WebSearch 2026-07-08,Low
Smallwood Sign Company,Independent / local operator,Citrus / Orange counties,Citrus; Orange,No,,,FL,,,,,Quote only — request from company,Quote only,,WebSearch 2026-07-08,Low
UMedia,Mobile / LED-truck operator,Miami; Orlando; Tampa; Daytona; Jacksonville,Statewide (major metros),Unknown,,,FL,,,,,Quote only — request from company,"Mobile LED truck — day/week rate, quote only",,WebSearch 2026-07-08,Low
View Outdoor,National operator,Florida (OOH vendor),Statewide FL,Unknown,,,FL,,,,,Quote only — request from company,Quote only,Named among major OOH vendors operating in Florida.,WebSearch 2026-07-08,Low
